#anaid	run	sample	resis_name	resis_gene	resis_DrugLog	resis_DrugName	resis_MutLog	resis_mut	resis_RawDep	resis_rpk	resis_mut_ratio
R240425-S026	240425_MN00604_0427_A000H5LG7H	T3P3-QWP04-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	559	531	0%
R240425-S027	240425_MN00604_0427_A000H5LG7H	T3P3-QWP04-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	1375	1454	0%
R240425-S028	240425_MN00604_0427_A000H5LG7H	T3P3-QWP04-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	492	634	0%
R240425-S029	240425_MN00604_0427_A000H5LG7H	T3P3-QWP05-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	429	525	0%
R240425-S030	240425_MN00604_0427_A000H5LG7H	T3P3-QWP05-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	340	463	0%
R240425-S031	240425_MN00604_0427_A000H5LG7H	T3P3-QWP05-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	880	1201	0%
R240425-S032	240425_MN00604_0427_A000H5LG7H	T3P3-QWP06-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	75	140	0%
R240425-S033	240425_MN00604_0427_A000H5LG7H	T3P3-QWP06-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	172	190	0%
R240425-S034	240425_MN00604_0427_A000H5LG7H	T3P3-QWP06-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	130	202	0%
R240425-S035	240425_MN00604_0427_A000H5LG7H	T3P3-QWP07-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	1182	1250	0%
R240425-S036	240425_MN00604_0427_A000H5LG7H	T3P3-QWP07-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	681	791	0%
R240425-S037	240425_MN00604_0427_A000H5LG7H	T3P3-QWP07-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	1221	1315	0%
R240425-S038	240425_MN00604_0427_A000H5LG7H	T3P3-QWL01-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	406	489	0%
R240425-S039	240425_MN00604_0427_A000H5LG7H	T3P3-QWL01-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	446	557	0%
R240425-S040	240425_MN00604_0427_A000H5LG7H	T3P3-QWL01-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	603	1047	0%
R240425-S041	240425_MN00604_0427_A000H5LG7H	T3P3-QWL02-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	463	475	0%
R240425-S042	240425_MN00604_0427_A000H5LG7H	T3P3-QWL02-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	273	461	0%
R240425-S043	240425_MN00604_0427_A000H5LG7H	T3P3-QWL02-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	1131	1561	0%
R240425-S044	240425_MN00604_0427_A000H5LG7H	T3P3-QWL03-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	701	801	0%
R240425-S045	240425_MN00604_0427_A000H5LG7H	T3P3-QWL03-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	608	735	0%
R240425-S046	240425_MN00604_0427_A000H5LG7H	T3P3-QWL03-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	687	910	0%
R240425-S047	240425_MN00604_0427_A000H5LG7H	T3P3-QWL04-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	367	434	0%
R240425-S048	240425_MN00604_0427_A000H5LG7H	T3P3-QWL04-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	403	634	0%
R240425-S049	240425_MN00604_0427_A000H5LG7H	T3P3-QWL04-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	440	710	0%
R240425-S050	240425_MN00604_0427_A000H5LG7H	T3P3-QWL05-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	406	389	0%
R240425-S051	240425_MN00604_0427_A000H5LG7H	T3P3-QWL05-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	1073	1181	0%
R240425-S052	240425_MN00604_0427_A000H5LG7H	T3P3-QWL05-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	366	392	0%
R240425-S053	240425_MN00604_0427_A000H5LG7H	T3P3-QWL06-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	545	927	0%
R240425-S054	240425_MN00604_0427_A000H5LG7H	T3P3-QWL06-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	826	999	0%
R240425-S055	240425_MN00604_0427_A000H5LG7H	T3P3-QWL06-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	120	198	0%
R240425-S056	240425_MN00604_0427_A000H5LG7H	T3P3-QWL07-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	673	1028	0%
R240425-S057	240425_MN00604_0427_A000H5LG7H	T3P3-QWL07-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	353	376	0%
R240425-S058	240425_MN00604_0427_A000H5LG7H	T3P3-QWL07-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	433	628	0%
R240425-S059	240425_MN00604_0427_A000H5LG7H	T3P3-POS-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	628	674	0%
R240425-S060	240425_MN00604_0427_A000H5LG7H	T3P3-POS-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	365	503	0%
R240425-S061	240425_MN00604_0427_A000H5LG7H	T3P3-POS-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	612	685	0%
R240425-S062	240425_MN00604_0427_A000H5LG7H	T3P3-QWN01-DJ-10E6	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	56	104	0%
R240425-S063	240425_MN00604_0427_A000H5LG7H	T3P3-QWN02-DJ-10E6	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	26	64	0%
R240425-S064	240425_MN00604_0427_A000H5LG7H	T3P3-QWN03-DJ-10E6	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	25	49	0%
R240425-S065	240425_MN00604_0427_A000H5LG7H	T3P3-QWN01-DJ-10E5	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	194	231	0%
R240425-S066	240425_MN00604_0427_A000H5LG7H	T3P3-QWN02-DJ-10E5	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	171	215	0%
R240425-S067	240425_MN00604_0427_A000H5LG7H	T3P3-QWN03-DJ-10E5	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	574	777	0%
R240425-S068	240425_MN00604_0427_A000H5LG7H	T3P3-QWN01-DJ-10E4	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	257	704	0%
R240425-S069	240425_MN00604_0427_A000H5LG7H	T3P3-QWN02-DJ-10E4	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	318	369	0%
R240425-S070	240425_MN00604_0427_A000H5LG7H	T3P3-QWN03-DJ-10E4	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	626	871	0%
R240425-S071	240425_MN00604_0427_A000H5LG7H	T3P3-NTC-DJ-T-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	248	1148	0%
R240425-S072	240425_MN00604_0427_A000H5LG7H	T3P3-NTC-DJ-T-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	599	837	0%
R240425-S073	240425_MN00604_0427_A000H5LG7H	T3P3-NEG-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	446	509	0%
R240425-S074	240425_MN00604_0427_A000H5LG7H	T3P3-NEG-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	447	656	0%
R240425-S075	240425_MN00604_0427_A000H5LG7H	T3P3-NEG-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	959	1139	0%
R240425-S076	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	363	600	0%
R240425-S077	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	59	153	0%
R240425-S078	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	113	239	0%
R240425-S079	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-4	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	10981	14686	0%
R240425-S080	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-5	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	180	290	0%
R240425-S081	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-6	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S082	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-7	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	187	267	0%
R240425-S083	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-8	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	405	533	0%
R240425-S084	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-9	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	2296	2607	0%
R240425-S085	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-10	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	249	360	0%
R240425-S086	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-11	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	279	407	0%
R240425-S087	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-12	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	1253	2312	0%
R240425-S088	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-13	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	耐药	23S rRNA:A2047G	152	259	44%
R240425-S089	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-14	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S090	240425_MN00604_0427_A000H5LG7H	T3P3-LC-DJ-15	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	521	717	0%
R240425-S091	240425_MN00604_0427_A000H5LG7H	T3P3-NTC-DJ-N-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	425	660	0%
R240425-S092	240425_MN00604_0427_A000H5LG7H	T3P3-NTC-DJ-N-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	258	290	0%
R240425-S093	240425_MN00604_0427_A000H5LG7H	T3P3-NTC-DJ-N-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	384	521	0%
R240425-S094	240425_MN00604_0427_A000H5LG7H	T3P3-NTC-DJ-J-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S096	240425_MN00604_0427_A000H5LG7H	T3P3-NTC-DJ-J-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S097	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	29	59	0%
R240425-S098	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	66	70	0%
R240425-S099	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	79	81	0%
R240425-S100	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-LY-4	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	46	67	0%
R240425-S101	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-LY-5	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S102	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-LY-6	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	60	92	0%
R240425-S103	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-LY-7	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	37	58	0%
R240425-S104	240425_MN00604_0427_A000H5LG7H	T3P3-QWR01-LY-8	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	24	26	0%
R240425-S105	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S106	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S107	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	27	27	0%
R240425-S108	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-LY-4	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S109	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-LY-5	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	45	46	0%
R240425-S110	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-LY-6	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S111	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-LY-7	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S112	240425_MN00604_0427_A000H5LG7H	T3P3-QWR02-LY-8	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S113	240425_MN00604_0427_A000H5LG7H	T3P3-QWP01-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S114	240425_MN00604_0427_A000H5LG7H	T3P3-QWP01-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S115	240425_MN00604_0427_A000H5LG7H	T3P3-QWP01-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	38	73	0%
R240425-S116	240425_MN00604_0427_A000H5LG7H	T3P3-QWP02-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	22	26	0%
R240425-S117	240425_MN00604_0427_A000H5LG7H	T3P3-QWP02-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	26	30	0%
R240425-S118	240425_MN00604_0427_A000H5LG7H	T3P3-QWP02-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	60	101	0%
R240425-S119	240425_MN00604_0427_A000H5LG7H	T3P3-QWP03-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S120	240425_MN00604_0427_A000H5LG7H	T3P3-QWP03-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S121	240425_MN00604_0427_A000H5LG7H	T3P3-QWP03-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S122	240425_MN00604_0427_A000H5LG7H	T3P3-QWP04-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S123	240425_MN00604_0427_A000H5LG7H	T3P3-QWP04-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S124	240425_MN00604_0427_A000H5LG7H	T3P3-QWP04-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S125	240425_MN00604_0427_A000H5LG7H	T3P3-QWP05-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S126	240425_MN00604_0427_A000H5LG7H	T3P3-QWP05-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S127	240425_MN00604_0427_A000H5LG7H	T3P3-QWP05-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S128	240425_MN00604_0427_A000H5LG7H	T3P3-QWP06-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	52	72	0%
R240425-S129	240425_MN00604_0427_A000H5LG7H	T3P3-QWP06-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	27	43	0%
R240425-S130	240425_MN00604_0427_A000H5LG7H	T3P3-QWP06-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	45	62	0%
R240425-S131	240425_MN00604_0427_A000H5LG7H	T3P3-QWP07-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S132	240425_MN00604_0427_A000H5LG7H	T3P3-QWP07-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	36	34	0%
R240425-S133	240425_MN00604_0427_A000H5LG7H	T3P3-QWP07-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	27	27	0%
R240425-S134	240425_MN00604_0427_A000H5LG7H	T3P3-QWL01-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S135	240425_MN00604_0427_A000H5LG7H	T3P3-QWL01-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	27	31	0%
R240425-S136	240425_MN00604_0427_A000H5LG7H	T3P3-QWL01-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S137	240425_MN00604_0427_A000H5LG7H	T3P3-QWL02-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S138	240425_MN00604_0427_A000H5LG7H	T3P3-QWL02-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	24	24	0%
R240425-S139	240425_MN00604_0427_A000H5LG7H	T3P3-QWL02-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S140	240425_MN00604_0427_A000H5LG7H	T3P3-QWL03-LY-1	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
R240425-S141	240425_MN00604_0427_A000H5LG7H	T3P3-QWL03-LY-2	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	敏感	未检出耐药突变	21	27	0%
R240425-S142	240425_MN00604_0427_A000H5LG7H	T3P3-QWL03-LY-3	百日咳鲍特菌耐药	23S rRNA	NA	大环内酯类抗生素	不适用	序列数低于可分析深度	-	-	/
